mstime	trial_type	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_resp	recog_conf	resp	color_r	color_g	color_b	case	font
0	SESS_START	n/a	LTP133	ltpFR	4	n/a	n/a	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a
138320	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	0	CRITIC	410	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
142243	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	0	MONSTER	912	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
146334	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	1	COACH	331	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
150275	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	1	DOG	480	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
154214	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	0	GROCERIES	663	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
158405	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	0	BEAN	105	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
162244	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	0	SADDLE	1221	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
166076	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	0	PEAR	1033	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
170233	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	1	DESK	452	n/a	n/a	0	0.422607421875	0.5869140625	0	upper	amplitud.ttf
174223	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	1	SHERIFF	1284	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
178114	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	1	SPIDER	1351	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
182237	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	1	RING	1193	n/a	n/a	0	0.422607421875	0.5869140625	0	upper	amplitud.ttf
186353	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	1	SECRETARY	1265	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
190369	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	1	COBBLER	335	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
194467	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	0	COCKTAIL	338	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
198482	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	0	CHAMPAGNE	278	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
204122	REC_START	n/a	LTP133	ltpFR	4	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
205454	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	0	CHAMPAGNE	278	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
206990	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	0	COCKTAIL	338	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
208886	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	0	BEAN	105	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
210213	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	0	PEAR	1033	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
212069	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	1	COACH	331	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
213346	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	1	SHERIFF	1284	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
215256	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	0	CRITIC	410	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
218609	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	0	MONSTER	912	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
220779	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	0	GROCERIES	663	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
222525	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	1	DESK	452	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
223917	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	1	SECRETARY	1265	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
232363	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	1	1	DOG	480	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
286883	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	2	1	TOMATO	1476	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
290932	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	2	1	BARRACUDA	90	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
294881	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	2	0	SEA	1259	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
299062	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	2	0	NEST	945	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
303244	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	2	0	PELICAN	1039	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
307369	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	2	0	BLACKBERRY	132	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
311259	WORD	wordpools/wasnorm_wordpool.txt	LTP133	ltpFR	4	2	0	ORCHID	982	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
