onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
230.914	n/a	SESS_START	115457	n/a	LTP259	ltpFR2	12	n/a	n/a	n/a	n/a	n/a	0	0	0
247.62	n/a	START	123810	n/a	LTP259	ltpFR2	12	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
247.67	n/a	PROB	123835	n/a	LTP259	ltpFR2	12	n/a	n/a	n/a	-1	14	4	7	3
249.294	n/a	PROB	124647	n/a	LTP259	ltpFR2	12	n/a	n/a	n/a	-1	15	3	7	5
251.384	n/a	PROB	125692	n/a	LTP259	ltpFR2	12	n/a	n/a	n/a	-1	11	8	2	1
252.738	n/a	PROB	126369	n/a	LTP259	ltpFR2	12	n/a	n/a	n/a	-1	18	5	5	8
254.128	n/a	PROB	127064	n/a	LTP259	ltpFR2	12	n/a	n/a	n/a	-1	11	6	2	3
257.236	n/a	PROB	128618	n/a	LTP259	ltpFR2	12	n/a	n/a	n/a	-1	22	6	9	7
259.598	n/a	STOP	129799	n/a	LTP259	ltpFR2	12	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
292.158	n/a	DISTRACTOR	146079	n/a	LTP259	ltpFR2	12	1	n/a	n/a	n/a	n/a	0	0	0
292.158	n/a	START	146079	n/a	LTP259	ltpFR2	12	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
292.208	n/a	PROB	146104	n/a	LTP259	ltpFR2	12	n/a	n/a	n/a	1	13	1	8	4
294.916	n/a	PROB	147458	n/a	LTP259	ltpFR2	12	n/a	n/a	n/a	1	20	9	2	9
298.514	n/a	PROB	149257	n/a	LTP259	ltpFR2	12	n/a	n/a	n/a	1	9	4	3	2
302.43	n/a	PROB	151215	n/a	LTP259	ltpFR2	12	n/a	n/a	n/a	1	23	7	8	8
304.304	n/a	PROB	152152	n/a	LTP259	ltpFR2	12	n/a	n/a	n/a	1	16	9	2	5
306.06	n/a	PROB	153030	n/a	LTP259	ltpFR2	12	n/a	n/a	n/a	1	14	3	2	9
307.732	n/a	PROB	153866	n/a	LTP259	ltpFR2	12	n/a	n/a	n/a	1	10	6	2	2
309.79	n/a	PROB	154895	n/a	LTP259	ltpFR2	12	n/a	n/a	n/a	1	14	6	6	2
312.084	n/a	PROB	156042	n/a	LTP259	ltpFR2	12	n/a	n/a	n/a	1	15	3	3	9
316.16	n/a	STOP	158080	n/a	LTP259	ltpFR2	12	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
