mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
0	SESS_START	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	n/a	n/a	0	0	0
15779	START	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
15795	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	-1	11	2	1	8
17347	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	-1	25	8	7	9
19448	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	-1	14	3	8	3
21451	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	-1	15	1	9	5
22649	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	-1	12	6	5	1
23918	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	-1	19	4	8	7
26280	STOP	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
65970	DISTRACTOR	n/a	LTP326	ltpFR2	14	1	n/a	n/a	n/a	n/a	0	0	0
65970	START	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
65985	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	1	12	1	6	5
67936	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	1	12	2	7	3
69589	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	1	11	3	7	1
70788	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	1	12	1	3	8
72391	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	1	9	5	1	3
74992	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	1	15	1	7	7
76928	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	1	12	6	3	3
78612	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	1	19	9	2	8
80181	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	1	19	2	8	9
81082	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	1	15	3	3	9
83083	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	1	13	2	5	6
84733	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	1	5	2	2	1
85684	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	1	18	8	1	9
86985	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	1	11	9	1	1
89969	STOP	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
90817	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	1	MARROW	872	n/a	n/a	0	0	0
93258	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	1	ICEBERG	731	n/a	n/a	0	0	0
95705	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	1	POISON	1096	n/a	n/a	0	0	0
98157	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	1	HATCHET	691	n/a	n/a	0	0	0
100659	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	1	ONION	977	n/a	n/a	0	0	0
103328	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	1	PARENT	1013	n/a	n/a	0	0	0
106098	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	1	DUSTPAN	509	n/a	n/a	0	0	0
108633	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	1	CANAL	226	n/a	n/a	0	0	0
111303	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	1	SLIDE	1326	n/a	n/a	0	0	0
113854	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	1	PANTHER	1009	n/a	n/a	0	0	0
116523	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	1	PROTON	1132	n/a	n/a	0	0	0
119042	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	1	WORLD	1622	n/a	n/a	0	0	0
121727	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	1	POSSUM	1112	n/a	n/a	0	0	0
124348	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	1	COBRA	336	n/a	n/a	0	0	0
127049	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	1	MAPLE	866	n/a	n/a	0	0	0
129854	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	1	GAZELLE	628	n/a	n/a	0	0	0
