mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num	too_fast
0	SESS_START	n/a	LTP420	VFFR	4	n/a	n/a	n/a	0
26665	PRACTICE_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	0	RHINO	-1	0
28015	PRACTICE_WORD_OFF	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	0	RHINO	-1	0
28015	PRACTICE_REC_START	n/a	LTP420	VFFR	4	0	RHINO	-1	0
29080	PRACTICE_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	0	RHINO	n/a	0
32782	PRACTICE_REC_STOP	n/a	LTP420	VFFR	4	0	RHINO	-1	0
34482	PRACTICE_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	1	BEAM	-1	0
35698	PRACTICE_WORD_OFF	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	1	BEAM	-1	0
35698	PRACTICE_REC_START	n/a	LTP420	VFFR	4	1	BEAM	-1	0
38698	PRACTICE_REC_STOP	n/a	LTP420	VFFR	4	1	BEAM	-1	0
38698	PRACTICE_REC_WORD_VV	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	1	<>	n/a	0
40748	PRACTICE_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	2	DOG	480	0
42265	PRACTICE_WORD_OFF	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	2	DOG	480	0
42265	PRACTICE_REC_START	n/a	LTP420	VFFR	4	2	DOG	480	0
43619	PRACTICE_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	2	DOG	n/a	0
45281	PRACTICE_REC_STOP	n/a	LTP420	VFFR	4	2	DOG	480	0
47031	PRACTICE_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	3	ICON	-1	0
48397	PRACTICE_WORD_OFF	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	3	ICON	-1	0
48397	PRACTICE_REC_START	n/a	LTP420	VFFR	4	3	ICON	-1	0
49457	PRACTICE_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	3	ICON	n/a	0
51397	PRACTICE_REC_STOP	n/a	LTP420	VFFR	4	3	ICON	-1	0
53264	PRACTICE_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	4	FLOOD	-1	0
54548	PRACTICE_REC_START	n/a	LTP420	VFFR	4	4	FLOOD	-1	0
54548	PRACTICE_WORD_OFF	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	4	FLOOD	-1	0
55957	PRACTICE_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	4	FLOOD	n/a	0
57548	PRACTICE_REC_STOP	n/a	LTP420	VFFR	4	4	FLOOD	-1	0
59130	PRACTICE_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	5	MIRROR	899	0
60581	PRACTICE_WORD_OFF	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	5	MIRROR	899	0
60581	PRACTICE_REC_START	n/a	LTP420	VFFR	4	5	MIRROR	899	0
63597	PRACTICE_REC_WORD_VV	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	5	<>	n/a	0
63597	PRACTICE_REC_STOP	n/a	LTP420	VFFR	4	5	MIRROR	899	0
65130	PRACTICE_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	6	COTTON	385	0
66413	PRACTICE_REC_START	n/a	LTP420	VFFR	4	6	COTTON	385	0
66413	PRACTICE_WORD_OFF	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	6	COTTON	385	0
67688	PRACTICE_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	6	COTTON	n/a	0
71263	PRACTICE_REC_STOP	n/a	LTP420	VFFR	4	6	COTTON	385	0
73297	PRACTICE_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	7	IMAGE	-1	0
75030	PRACTICE_WORD_OFF	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	7	IMAGE	-1	0
75030	PRACTICE_REC_START	n/a	LTP420	VFFR	4	7	IMAGE	-1	0
76130	PRACTICE_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	7	IMAGE	n/a	0
80330	PRACTICE_REC_STOP	n/a	LTP420	VFFR	4	7	IMAGE	-1	0
82179	PRACTICE_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	8	RING	1193	0
83479	PRACTICE_WORD_OFF	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	8	RING	1193	0
83479	PRACTICE_REC_START	n/a	LTP420	VFFR	4	8	RING	1193	0
84982	PRACTICE_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	8	RING	n/a	0
86479	PRACTICE_REC_STOP	n/a	LTP420	VFFR	4	8	RING	1193	0
88063	PRACTICE_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	9	VIOLIN	1571	1
89679	PRACTICE_REC_START	n/a	LTP420	VFFR	4	9	VIOLIN	1571	0
89679	PRACTICE_WORD_OFF	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	9	VIOLIN	1571	1
90565	PRACTICE_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	9	VIOLIN	n/a	1
92679	PRACTICE_REC_STOP	n/a	LTP420	VFFR	4	9	VIOLIN	1571	1
142010	COUNTDOWN	n/a	LTP420	VFFR	4	9	10	n/a	0
143027	COUNTDOWN	n/a	LTP420	VFFR	4	9	9	n/a	0
144043	COUNTDOWN	n/a	LTP420	VFFR	4	9	8	n/a	0
145060	COUNTDOWN	n/a	LTP420	VFFR	4	9	7	n/a	0
146076	COUNTDOWN	n/a	LTP420	VFFR	4	9	6	n/a	0
147076	COUNTDOWN	n/a	LTP420	VFFR	4	9	5	n/a	0
148093	COUNTDOWN	n/a	LTP420	VFFR	4	9	4	n/a	0
149110	COUNTDOWN	n/a	LTP420	VFFR	4	9	3	n/a	0
150126	COUNTDOWN	n/a	LTP420	VFFR	4	9	2	n/a	0
151126	COUNTDOWN	n/a	LTP420	VFFR	4	9	1	n/a	0
153509	WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	0	TURNIP	1521	0
155209	WORD_OFF	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	0	TURNIP	1521	0
155209	REC_START	n/a	LTP420	VFFR	4	0	TURNIP	1521	0
156619	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	0	TURNIP	1521	0
158209	REC_STOP	n/a	LTP420	VFFR	4	0	TURNIP	1521	0
160075	WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	1	CIGAR	308	0
161491	WORD_OFF	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	1	CIGAR	308	0
161491	REC_START	n/a	LTP420	VFFR	4	1	CIGAR	308	0
163201	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	1	CIGAR	308	0
164642	REC_STOP	n/a	LTP420	VFFR	4	1	CIGAR	308	0
166175	WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	2	WASHER	1592	0
167859	REC_START	n/a	LTP420	VFFR	4	2	WASHER	1592	0
167859	WORD_OFF	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	2	WASHER	1592	0
168909	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	2	WASHER	1592	0
170859	REC_STOP	n/a	LTP420	VFFR	4	2	WASHER	1592	0
172391	WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	3	PICTURE	1061	0
173858	WORD_OFF	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	3	PICTURE	1061	0
173858	REC_START	n/a	LTP420	VFFR	4	3	PICTURE	1061	0
174968	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	3	PICTURE	1061	0
176858	REC_STOP	n/a	LTP420	VFFR	4	3	PICTURE	1061	0
178908	WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	4	CUPBOARD	425	0
180375	WORD_OFF	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	4	CUPBOARD	425	0
180375	REC_START	n/a	LTP420	VFFR	4	4	CUPBOARD	425	0
181697	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	4	CUPBOARD	425	0
183375	REC_STOP	n/a	LTP420	VFFR	4	4	CUPBOARD	425	0
185458	WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	5	HERO	706	0
186858	WORD_OFF	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	5	HERO	706	0
186858	REC_START	n/a	LTP420	VFFR	4	5	HERO	706	0
187938	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	5	HERO	706	0
189858	REC_STOP	n/a	LTP420	VFFR	4	5	HERO	706	0
191541	WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	6	YARN	1631	0
193223	WORD_OFF	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	6	YARN	1631	0
193223	REC_START	n/a	LTP420	VFFR	4	6	YARN	1631	0
194663	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP420	VFFR	4	6	YARN	1631	0
196223	REC_STOP	n/a	LTP420	VFFR	4	6	YARN	1631	0
