onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_resp	recog_conf	resp	color_r	color_g	color_b	case	font
247.136	n/a	SESS_START	123568	n/a	LTP136	ltpFR	15	n/a	n/a	n/a	n/a	1	3	n/a	n/a	n/a	n/a	n/a	n/a
349.922	n/a	WORD	174961	wordpools/wasnorm_wordpool.txt	LTP136	ltpFR	15	1	0	FOOTBALL	591	0	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
353.754	n/a	WORD	176877	wordpools/wasnorm_wordpool.txt	LTP136	ltpFR	15	1	0	BRIEFCASE	175	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
357.78	n/a	WORD	178890	wordpools/wasnorm_wordpool.txt	LTP136	ltpFR	15	1	0	SKUNK	1321	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
361.984	n/a	WORD	180992	wordpools/wasnorm_wordpool.txt	LTP136	ltpFR	15	1	0	METEOR	889	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
365.816	n/a	WORD	182908	wordpools/wasnorm_wordpool.txt	LTP136	ltpFR	15	1	1	GALAXY	617	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
369.692	n/a	WORD	184846	wordpools/wasnorm_wordpool.txt	LTP136	ltpFR	15	1	1	BARREL	91	n/a	n/a	0	0.422607421875	0.5869140625	0	upper	amplitud.ttf
373.682	n/a	WORD	186841	wordpools/wasnorm_wordpool.txt	LTP136	ltpFR	15	1	1	BELLY	119	n/a	n/a	0	0.422607421875	0.5869140625	0	upper	amplitud.ttf
377.54	n/a	WORD	188770	wordpools/wasnorm_wordpool.txt	LTP136	ltpFR	15	1	1	BASKET	95	n/a	n/a	0	0.422607421875	0.5869140625	0	upper	amplitud.ttf
381.496	n/a	WORD	190748	wordpools/wasnorm_wordpool.txt	LTP136	ltpFR	15	1	1	KITCHEN	778	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
385.528	n/a	WORD	192764	wordpools/wasnorm_wordpool.txt	LTP136	ltpFR	15	1	1	SHEET	1279	n/a	n/a	0	0.422607421875	0.5869140625	0	upper	amplitud.ttf
389.702	n/a	WORD	194851	wordpools/wasnorm_wordpool.txt	LTP136	ltpFR	15	1	0	CARPENTER	246	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
393.834	n/a	WORD	196917	wordpools/wasnorm_wordpool.txt	LTP136	ltpFR	15	1	0	MINK	897	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
397.916	n/a	WORD	198958	wordpools/wasnorm_wordpool.txt	LTP136	ltpFR	15	1	1	REFEREE	1178	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
401.914	n/a	WORD	200957	wordpools/wasnorm_wordpool.txt	LTP136	ltpFR	15	1	1	ORGAN	984	n/a	n/a	0	0.422607421875	0.5869140625	0	upper	amplitud.ttf
406.046	n/a	WORD	203023	wordpools/wasnorm_wordpool.txt	LTP136	ltpFR	15	1	0	DONOR	485	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
409.904	n/a	WORD	204952	wordpools/wasnorm_wordpool.txt	LTP136	ltpFR	15	1	0	TANGERINE	1431	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
415.496	n/a	REC_START	207748	n/a	LTP136	ltpFR	15	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
416.144	n/a	REC_WORD	208072	wordpools/wasnorm_wordpool.txt	LTP136	ltpFR	15	1	0	DONOR	485	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
417.326	n/a	REC_WORD	208663	wordpools/wasnorm_wordpool.txt	LTP136	ltpFR	15	1	0	TANGERINE	1431	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
418.912	n/a	REC_WORD	209456	wordpools/wasnorm_wordpool.txt	LTP136	ltpFR	15	1	1	ORGAN	984	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
421.452	n/a	REC_WORD	210726	wordpools/wasnorm_wordpool.txt	LTP136	ltpFR	15	1	1	REFEREE	1178	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
