mstime	trial_type	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_conf	resp	color_b	color_g	color_r	case	font
0	SESS_START	n/a	LTP213	ltpFR	5	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
77787	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	1	0	EWE	542	n/a	3	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
79142	KEY_MSG	n/a	LTP213	ltpFR	5	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
81915	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	1	0	CREATURE	403	n/a	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
85951	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	1	0	SHRINE	1298	n/a	1	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
90117	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	1	0	GODDESS	646	n/a	1	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
94299	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	1	1	PAINT	1003	n/a	0	1	0.412841796875	0.57763671875	lower	../fonts/zerothre.ttf
98481	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	1	1	BONE	148	n/a	1	1	0.412841796875	0.57763671875	lower	../fonts/zerothre.ttf
102379	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	1	1	MOUNTAIN	924	n/a	1	1	0.412841796875	0.57763671875	lower	../fonts/zerothre.ttf
106261	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	1	1	RAM	1165	n/a	0	1	0.412841796875	0.57763671875	lower	../fonts/zerothre.ttf
110176	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	1	1	PEAR	1033	n/a	1	1	0.412841796875	0.57763671875	lower	../fonts/zerothre.ttf
114091	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	1	1	TANGERINE	1431	n/a	0	1	0.412841796875	0.57763671875	lower	../fonts/zerothre.ttf
118223	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	1	0	SPINE	1353	n/a	1	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
122355	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	1	0	BLOUSE	139	n/a	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
126470	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	1	0	MUSEUM	933	n/a	1	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
130652	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	1	0	JUGGLER	763	n/a	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
134533	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	1	1	SAXOPHONE	1240	n/a	1	1	0.412841796875	0.57763671875	lower	../fonts/zerothre.ttf
138511	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	1	1	ELK	526	n/a	1	1	0.412841796875	0.57763671875	lower	../fonts/zerothre.ttf
144518	REC_START	n/a	LTP213	ltpFR	5	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
145156	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	1	1	BONE	148	n/a	1	n/a	n/a	n/a	n/a	n/a
146393	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	1	1	MOUNTAIN	924	n/a	1	n/a	n/a	n/a	n/a	n/a
147990	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	1	1	PAINT	1003	n/a	0	n/a	n/a	n/a	n/a	n/a
149496	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	1	0	SPINE	1353	n/a	1	n/a	n/a	n/a	n/a	n/a
162058	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	1	1	ELK	526	n/a	1	n/a	n/a	n/a	n/a	n/a
190378	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	1	0	MUSEUM	933	n/a	1	n/a	n/a	n/a	n/a	n/a
230061	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	2	1	QUILT	1151	n/a	1	1	0.412841796875	0.57763671875	lower	../fonts/zerothre.ttf
234043	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	2	1	SEAGULL	1261	n/a	0	1	0.412841796875	0.57763671875	lower	../fonts/zerothre.ttf
238242	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	2	1	PASSAGE	1019	n/a	1	1	0.412841796875	0.57763671875	lower	../fonts/zerothre.ttf
242152	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP213	ltpFR	5	2	0	GOVERNOR	651	n/a	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
