mstime	trial_type	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_resp	recog_conf	resp	color_r	color_g	color_b	case	font
0	SESS_START	n/a	LTP279	ltpFR	17	n/a	n/a	n/a	n/a	1	2	n/a	n/a	n/a	n/a	n/a	n/a
25045	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	1	SINK	1309	1	n/a	0	0.422607421875	0.5869140625	0	lower	amplitud.ttf
29072	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	1	KANGAROO	768	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	amplitud.ttf
33116	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	1	FLEA	577	n/a	n/a	0	0.422607421875	0.5869140625	0	lower	amplitud.ttf
36961	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	1	THORN	1459	n/a	n/a	0	0.422607421875	0.5869140625	0	lower	amplitud.ttf
40971	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	0	DAISY	435	n/a	n/a	0	0.57763671875	0.412841796875	1	upper	zerothre.ttf
44799	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	0	DRILL	497	n/a	n/a	0	0.57763671875	0.412841796875	1	upper	zerothre.ttf
48826	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	0	BARN	89	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	zerothre.ttf
52754	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	0	FARM	552	n/a	n/a	0	0.57763671875	0.412841796875	1	upper	zerothre.ttf
56698	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	0	CAULIFLOWER	262	n/a	n/a	0	0.57763671875	0.412841796875	1	upper	zerothre.ttf
60675	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	0	PLANT	1083	n/a	n/a	0	0.57763671875	0.412841796875	1	upper	zerothre.ttf
64736	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	1	MAILMAN	858	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	amplitud.ttf
68813	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	1	SCALPEL	1243	n/a	n/a	0	0.422607421875	0.5869140625	0	lower	amplitud.ttf
72890	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	1	BLUEPRINT	142	n/a	n/a	0	0.422607421875	0.5869140625	0	lower	amplitud.ttf
77101	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	1	CHIPMUNK	304	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	amplitud.ttf
80945	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	0	COYOTE	396	n/a	n/a	0	0.57763671875	0.412841796875	1	upper	zerothre.ttf
84773	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	0	HUT	729	n/a	n/a	0	0.57763671875	0.412841796875	1	upper	zerothre.ttf
90764	REC_START	n/a	LTP279	ltpFR	17	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
92052	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	0	COYOTE	396	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
92666	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	0	HUT	729	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
93507	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	1	MAILMAN	858	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
94145	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	1	SCALPEL	1243	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
95071	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	1	BLUEPRINT	142	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
107628	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	1	KANGAROO	768	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
108730	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	1	SINK	1309	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
111252	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	1	FLEA	577	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
112244	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	1	THORN	1459	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
114125	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	0	DRILL	497	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
115518	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	0	DAISY	435	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
151865	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP279	ltpFR	17	1	0	CAULIFLOWER	262	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
